Region_Destination,Institution_Type_Layer1,Institution_Type_Layer2,Domestic_International,Instrument,Use,Year,Value
Central Asia and Eastern Europe,Private,Commercial FI,Domestic,Balance sheet financing (debt portion),Mitigation,2022,601.94
Central Asia and Eastern Europe,Private,Commercial FI,Domestic,Project-level market rate debt,Mitigation,2022,734.69
